method,FD(sum|rho-1|),max_ratio(rho_max/rho_min),gini_like_people_per_seat,"spearman(pop_rank, seat_err_rank)",L1_quota_error(extra vs quota)
HuntingtonHill,3.297239461738521,1.8257427858858475,0.05166625013659897,0.8734213685474188,33.40973706516941
HH_official,3.297239461738521,1.8257427858858475,0.05166625013659897,0.8734213685474188,33.40973706516941
Webster,3.5912413434204358,1.9008601067300885,0.05595772026261284,0.9027130852340935,37.40973706516941
Jefferson,5.724865123557134,2.3871276520246,0.08339787424990891,0.8890756302521008,50.249093799887916
Rand_Independent(one),7.206373288045485,2.9251380310874633,0.1119503303133352,0.05805522208883554,17.817746611673442
Rand_Thompson(one),7.2125546322317575,2.9160299672793637,0.11270160066521619,-0.04153661464585834,11.56608462592046
Hamilton,7.245710429122569,2.915114993879267,0.11288717968572903,-0.020312124849939977,11.495770071504733
Rand_Systematic(one),7.307613369200336,2.915114993879267,0.11730065414092472,-0.01637454981992797,14.881072730391395
Rand_Sampford(one),7.524279865844785,2.6261071326502257,0.10958287707799884,-0.08177671068427371,13.859018873557293
